MES,LATITUD,LONGITUD,CANTIDAD
2010-01,5.006758956,-74.847500949,1
2010-01,4.123416795,-74.747002457,1
2010-01,3.98252395,-74.689369077,1
2010-01,4.166476969,-74.893529408,3
2010-01,4.242813257,-74.837086379,1
2010-01,5.186694812,-75.052289947,1
2010-01,4.076501341,-74.97657287,2
2010-01,4.451921427,-75.252590995,28
2010-01,4.877936755,-75.047630757,2
2010-01,4.193215498,-74.605174974,12
2010-01,3.854281614,-74.874511547,2
2010-01,4.216730954,-75.347583635,1
2010-01,4.795927292,-76.029630488,5
2010-01,4.704287864,-76.141649985,1
2010-01,3.493340766,-77.118728315,21
2010-01,4.196852991,-76.089610303,1
2010-01,4.308997973,-75.836725668,20
2010-01,3.923271619,-76.642604838,2
2010-01,3.382091564,-76.383176631,8
2010-01,4.70684716,-75.917908459,5
2010-01,3.649822218,-76.720393465,4
2010-01,3.656072873,-76.308417837,7
2010-01,4.917562873,-76.066010008,4
2010-01,3.304104295,-76.164773067,13
2010-01,3.74410441,-76.19082004,2
2010-01,3.759414991,-76.345182773,9
2010-01,3.819854318,-75.983124185,9
2010-01,3.213892389,-76.627604178,23
2010-01,4.537937391,-76.103289827,1
2010-01,4.597588666,-75.949199698,1
2010-01,3.558392876,-76.227799721,79
2010-01,3.42063665,-76.178418412,4
2010-01,4.443571848,-76.168242493,8
2010-01,3.98143244,-76.208361678,1
2010-01,3.399043723,-76.576492589,219
2010-01,4.193411919,-75.888181633,20
2010-01,4.233268116,-76.342926988,1
2010-01,4.02840797,-76.032503793,18
2010-01,4.707718947,-75.778359026,1
2010-01,3.595913669,-76.5109879,3
2010-01,4.35359875,-76.050653363,4
2010-02,-3.530058784,-70.04513691,16
2010-02,5.803728154,-75.438473525,4
2010-02,6.032921994,-75.708003098,8
2010-02,6.977788843,-74.981239298,2
2010-02,5.604993248,-75.941283908,14
2010-02,6.861498764,-75.358315997,1
2010-02,7.193110778,-75.108489539,4
2010-02,7.86047815,-76.582362643,14
