MES,CANTIDAD,LATITUD,LONGITUD
2010-11,6,0.497708465,-77.240476252
2010-12,15,0.497708465,-77.240476252
2011-01,19,0.497708465,-77.240476252
2011-02,27,0.497708465,-77.240476252
2011-03,22,0.497708465,-77.240476252
2011-04,27,0.497708465,-77.240476252
2011-05,15,0.497708465,-77.240476252
2011-06,10,0.497708465,-77.240476252
2011-07,13,0.497708465,-77.240476252
2011-08,19,0.497708465,-77.240476252
2011-09,20,0.497708465,-77.240476252
2011-10,14,0.497708465,-77.240476252
2011-11,5,0.497708465,-77.240476252
2011-12,4,0.497708465,-77.240476252
2012-01,8,0.497708465,-77.240476252
2012-02,19,0.497708465,-77.240476252
2012-03,26,0.497708465,-77.240476252
2012-04,9,0.497708465,-77.240476252
2012-05,31,0.497708465,-77.240476252
2012-06,13,0.497708465,-77.240476252
2012-07,15,0.497708465,-77.240476252
2012-08,20,0.497708465,-77.240476252
2012-09,13,0.497708465,-77.240476252
2012-10,11,0.497708465,-77.240476252
2012-11,5,0.497708465,-77.240476252
2012-12,3,0.497708465,-77.240476252
2013-01,18,0.497708465,-77.240476252
2013-02,45,0.497708465,-77.240476252
2013-03,34,0.497708465,-77.240476252
2013-04,22,0.497708465,-77.240476252
2013-05,34,0.497708465,-77.240476252
2013-06,39,0.497708465,-77.240476252
2013-07,10,0.497708465,-77.240476252
2013-08,22,0.497708465,-77.240476252
2013-09,17,0.497708465,-77.240476252
2013-10,30,0.497708465,-77.240476252
2013-11,17,0.497708465,-77.240476252
2013-12,5,0.497708465,-77.240476252
2014-01,22,0.497708465,-77.240476252
2014-02,29,0.497708465,-77.240476252
2014-03,40,0.497708465,-77.240476252
2014-04,23,0.497708465,-77.240476252
2014-05,36,0.497708465,-77.240476252
2014-06,33,0.497708465,-77.240476252
2014-07,37,0.497708465,-77.240476252
2014-08,42,0.497708465,-77.240476252
2014-09,38,0.497708465,-77.240476252
2014-10,59,0.497708465,-77.240476252
2014-11,26,0.497708465,-77.240476252
2014-12,13,0.497708465,-77.240476252
2015-01,24,0.497708465,-77.240476252
2015-02,55,0.497708465,-77.240476252
2015-03,39,0.497708465,-77.240476252
2015-04,26,0.497708465,-77.240476252
2015-05,23,0.497708465,-77.240476252
2015-06,30,0.497708465,-77.240476252
2015-07,21,0.497708465,-77.240476252
2015-08,14,0.497708465,-77.240476252
2015-09,12,0.497708465,-77.240476252
2015-10,7,0.497708465,-77.240476252
2015-11,15,0.497708465,-77.240476252
2015-12,9,0.497708465,-77.240476252
2010-01,3,0.647693081,-74.272354991
2010-02,3,0.647693081,-74.272354991
2010-03,1,0.647693081,-74.272354991
2010-04,6,0.647693081,-74.272354991
2010-05,2,0.647693081,-74.272354991
2010-06,1,0.647693081,-74.272354991
2010-07,7,0.647693081,-74.272354991
2010-08,13,0.647693081,-74.272354991
2010-09,11,0.647693081,-74.272354991
2010-10,4,0.647693081,-74.272354991
2010-11,2,0.647693081,-74.272354991
2010-12,1,0.647693081,-74.272354991
2011-01,4,0.647693081,-74.272354991
2011-02,15,0.647693081,-74.272354991
2011-03,4,0.647693081,-74.272354991
2011-04,5,0.647693081,-74.272354991
2011-05,9,0.647693081,-74.272354991
2011-06,5,0.647693081,-74.272354991
2011-07,3,0.647693081,-74.272354991
2011-08,3,0.647693081,-74.272354991
2011-09,4,0.647693081,-74.272354991
2011-10,1,0.647693081,-74.272354991
2011-11,3,0.647693081,-74.272354991
2011-12,1,0.647693081,-74.272354991
2012-01,1,0.647693081,-74.272354991
2012-02,1,0.647693081,-74.272354991
2012-03,5,0.647693081,-74.272354991
2012-04,1,0.647693081,-74.272354991
2012-05,3,0.647693081,-74.272354991
2012-07,2,0.647693081,-74.272354991
2012-08,6,0.647693081,-74.272354991
2012-09,1,0.647693081,-74.272354991
2012-10,5,0.647693081,-74.272354991
2012-11,4,0.647693081,-74.272354991
2012-12,2,0.647693081,-74.272354991
2013-02,1,0.647693081,-74.272354991
2013-03,13,0.647693081,-74.272354991
2013-04,2,0.647693081,-74.272354991
2013-06,1,0.647693081,-74.272354991
2013-09,1,0.647693081,-74.272354991
2013-11,6,0.647693081,-74.272354991
2013-12,4,0.647693081,-74.272354991
2014-01,5,0.647693081,-74.272354991
2014-03,4,0.647693081,-74.272354991
2014-05,2,0.647693081,-74.272354991
2014-06,1,0.647693081,-74.272354991
2014-07,1,0.647693081,-74.272354991
2014-08,8,0.647693081,-74.272354991
2014-09,1,0.647693081,-74.272354991
2014-10,1,0.647693081,-74.272354991
2014-12,1,0.647693081,-74.272354991
2015-01,4,0.647693081,-74.272354991
2015-02,3,0.647693081,-74.272354991
2015-03,1,0.647693081,-74.272354991
2015-04,4,0.647693081,-74.272354991
2015-05,2,0.647693081,-74.272354991
2015-06,1,0.647693081,-74.272354991
2015-07,2,0.647693081,-74.272354991
2015-08,2,0.647693081,-74.272354991
2015-09,2,0.647693081,-74.272354991
2015-10,2,0.647693081,-74.272354991
2010-01,1,0.673756323,-76.943139229
2010-02,1,0.673756323,-76.943139229
2010-05,3,0.673756323,-76.943139229
2010-06,1,0.673756323,-76.943139229
2010-08,1,0.673756323,-76.943139229
2010-09,1,0.673756323,-76.943139229
2010-10,7,0.673756323,-76.943139229
2010-12,1,0.673756323,-76.943139229
2011-01,4,0.673756323,-76.943139229
2011-02,5,0.673756323,-76.943139229
2011-03,1,0.673756323,-76.943139229
2011-05,1,0.673756323,-76.943139229
2011-08,1,0.673756323,-76.943139229
2011-10,1,0.673756323,-76.943139229
2011-11,2,0.673756323,-76.943139229
2012-01,2,0.673756323,-76.943139229
2012-02,1,0.673756323,-76.943139229
2012-03,2,0.673756323,-76.943139229
2012-04,2,0.673756323,-76.943139229
2012-05,2,0.673756323,-76.943139229
2012-06,1,0.673756323,-76.943139229
2012-09,3,0.673756323,-76.943139229
2012-11,1,0.673756323,-76.943139229
2012-12,1,0.673756323,-76.943139229
2013-03,3,0.673756323,-76.943139229
2013-04,1,0.673756323,-76.943139229
2013-05,2,0.673756323,-76.943139229
2013-06,3,0.673756323,-76.943139229
2013-07,1,0.673756323,-76.943139229
2013-08,3,0.673756323,-76.943139229
2013-10,3,0.673756323,-76.943139229
2013-11,5,0.673756323,-76.943139229
2013-12,1,0.673756323,-76.943139229
2014-04,4,0.673756323,-76.943139229
2014-07,9,0.673756323,-76.943139229
2014-08,2,0.673756323,-76.943139229
2014-09,1,0.673756323,-76.943139229
2014-11,3,0.673756323,-76.943139229
2015-01,2,0.673756323,-76.943139229
2015-03,2,0.673756323,-76.943139229
2015-05,4,0.673756323,-76.943139229
2015-06,1,0.673756323,-76.943139229
2015-08,9,0.673756323,-76.943139229
2015-11,1,0.673756323,-76.943139229
2010-01,2,0.70416861,-76.498644148
2010-02,6,0.70416861,-76.498644148
2010-03,3,0.70416861,-76.498644148
2010-04,6,0.70416861,-76.498644148
2010-07,2,0.70416861,-76.498644148
2010-08,1,0.70416861,-76.498644148
2010-09,2,0.70416861,-76.498644148
2010-11,2,0.70416861,-76.498644148
2011-02,1,0.70416861,-76.498644148
2011-05,3,0.70416861,-76.498644148
2011-09,3,0.70416861,-76.498644148
2011-10,2,0.70416861,-76.498644148
2012-01,1,0.70416861,-76.498644148
2012-02,1,0.70416861,-76.498644148
2012-03,2,0.70416861,-76.498644148
2012-04,1,0.70416861,-76.498644148
2012-05,1,0.70416861,-76.498644148
2012-06,1,0.70416861,-76.498644148
2012-10,1,0.70416861,-76.498644148
2012-12,1,0.70416861,-76.498644148
2013-07,2,0.70416861,-76.498644148
2014-04,1,0.70416861,-76.498644148
2014-09,1,0.70416861,-76.498644148
2015-02,1,0.70416861,-76.498644148
2015-03,1,0.70416861,-76.498644148
2015-04,2,0.70416861,-76.498644148
2015-05,1,0.70416861,-76.498644148
2015-08,2,0.70416861,-76.498644148
2015-10,1,0.70416861,-76.498644148
2010-02,2,0.746432215,-75.880229785
2010-03,1,0.746432215,-75.880229785
2010-04,1,0.746432215,-75.880229785
2010-05,2,0.746432215,-75.880229785
2010-06,1,0.746432215,-75.880229785
2010-07,1,0.746432215,-75.880229785
2010-08,1,0.746432215,-75.880229785
2010-11,1,0.746432215,-75.880229785
2010-12,1,0.746432215,-75.880229785
2011-02,2,0.746432215,-75.880229785
2011-06,8,0.746432215,-75.880229785
2011-09,3,0.746432215,-75.880229785
2011-11,1,0.746432215,-75.880229785
2012-01,1,0.746432215,-75.880229785
2012-02,2,0.746432215,-75.880229785
2012-03,2,0.746432215,-75.880229785
2012-04,3,0.746432215,-75.880229785
2012-06,2,0.746432215,-75.880229785
2012-10,1,0.746432215,-75.880229785
2014-02,2,0.746432215,-75.880229785
2014-03,1,0.746432215,-75.880229785
2015-09,1,0.746432215,-75.880229785
2015-12,1,0.746432215,-75.880229785
2014-04,1,0.78274688,-77.368059034
2014-07,1,0.78274688,-77.368059034
2015-02,1,0.78274688,-77.368059034
2015-03,1,0.78274688,-77.368059034
2013-11,1,0.785841088,-77.528704073
2014-11,1,0.785841088,-77.528704073
2011-03,1,0.854351651,-77.350325234
2014-02,1,0.854351651,-77.350325234
2014-06,1,0.854351651,-77.350325234
2014-08,1,0.854351651,-77.350325234
2015-09,1,0.854351651,-77.350325234
2013-03,1,0.875426999,-77.735916005
2010-01,2,0.911149515,-76.744954473
2010-02,6,0.911149515,-76.744954473
2010-03,4,0.911149515,-76.744954473
2010-04,2,0.911149515,-76.744954473
2010-05,9,0.911149515,-76.744954473
2010-06,3,0.911149515,-76.744954473
2010-07,3,0.911149515,-76.744954473
2010-08,6,0.911149515,-76.744954473
2010-10,2,0.911149515,-76.744954473
2010-11,14,0.911149515,-76.744954473
2010-12,4,0.911149515,-76.744954473
2011-01,1,0.911149515,-76.744954473
2011-02,3,0.911149515,-76.744954473
2011-03,2,0.911149515,-76.744954473
2011-04,4,0.911149515,-76.744954473
2011-05,7,0.911149515,-76.744954473
2011-06,3,0.911149515,-76.744954473
2011-07,3,0.911149515,-76.744954473
2011-08,3,0.911149515,-76.744954473
2011-09,5,0.911149515,-76.744954473
2011-10,3,0.911149515,-76.744954473
2011-11,6,0.911149515,-76.744954473
2011-12,2,0.911149515,-76.744954473
2012-01,3,0.911149515,-76.744954473
2012-02,7,0.911149515,-76.744954473
2012-03,3,0.911149515,-76.744954473
2012-04,4,0.911149515,-76.744954473
2012-05,1,0.911149515,-76.744954473
2012-06,1,0.911149515,-76.744954473
2012-07,6,0.911149515,-76.744954473
2012-08,5,0.911149515,-76.744954473
2012-09,4,0.911149515,-76.744954473
2012-10,2,0.911149515,-76.744954473
2012-11,3,0.911149515,-76.744954473
2012-12,1,0.911149515,-76.744954473
2013-02,1,0.911149515,-76.744954473
2013-04,3,0.911149515,-76.744954473
2013-05,2,0.911149515,-76.744954473
2013-06,1,0.911149515,-76.744954473
2013-09,2,0.911149515,-76.744954473
2013-10,2,0.911149515,-76.744954473
2013-12,1,0.911149515,-76.744954473
2014-01,2,0.911149515,-76.744954473
2014-02,3,0.911149515,-76.744954473
2014-04,2,0.911149515,-76.744954473
2014-05,1,0.911149515,-76.744954473
2014-06,4,0.911149515,-76.744954473
2014-08,3,0.911149515,-76.744954473
2014-12,1,0.911149515,-76.744954473
2015-01,1,0.911149515,-76.744954473
2015-02,5,0.911149515,-76.744954473
2015-04,2,0.911149515,-76.744954473
2015-05,3,0.911149515,-76.744954473
2015-06,7,0.911149515,-76.744954473
2015-07,3,0.911149515,-76.744954473
2015-08,1,0.911149515,-76.744954473
2015-09,4,0.911149515,-76.744954473
2015-10,1,0.911149515,-76.744954473
2015-11,7,0.911149515,-76.744954473
2015-12,1,0.911149515,-76.744954473
2013-01,1,0.913431916,-77.695387307
2010-10,2,0.916769831,-77.633369537
2013-03,1,0.916769831,-77.633369537
2013-04,1,0.916769831,-77.633369537
2013-05,1,0.916769831,-77.633369537
2013-07,2,0.916769831,-77.633369537
2014-02,1,0.916769831,-77.633369537
2014-04,1,0.916769831,-77.633369537
2014-08,1,0.916769831,-77.633369537
2014-09,3,0.916769831,-77.633369537
2014-10,3,0.916769831,-77.633369537
2015-03,2,0.916769831,-77.633369537
2015-04,1,0.916769831,-77.633369537
2015-08,2,0.916769831,-77.633369537
2013-04,2,0.928642623,-77.582618827
2013-05,2,0.928642623,-77.582618827
2014-09,1,0.928642623,-77.582618827
2011-09,1,0.932667458,-77.528087314
2015-03,1,0.932667458,-77.528087314
2010-01,1,0.943939454,-75.646685441
2010-04,1,0.943939454,-75.646685441
2010-05,1,0.943939454,-75.646685441
2010-07,3,0.943939454,-75.646685441
2010-08,1,0.943939454,-75.646685441
2010-09,2,0.943939454,-75.646685441
2010-10,4,0.943939454,-75.646685441
2010-12,2,0.943939454,-75.646685441
2011-01,3,0.943939454,-75.646685441
2011-02,1,0.943939454,-75.646685441
2011-03,1,0.943939454,-75.646685441
2011-04,2,0.943939454,-75.646685441
2011-06,1,0.943939454,-75.646685441
2011-09,1,0.943939454,-75.646685441
2012-01,1,0.943939454,-75.646685441
2012-02,4,0.943939454,-75.646685441
2012-04,2,0.943939454,-75.646685441
2012-08,1,0.943939454,-75.646685441
2012-10,2,0.943939454,-75.646685441
2013-03,1,0.943939454,-75.646685441
2013-04,1,0.943939454,-75.646685441
2013-05,1,0.943939454,-75.646685441
2013-10,1,0.943939454,-75.646685441
2013-11,1,0.943939454,-75.646685441
2014-04,3,0.943939454,-75.646685441
2014-05,1,0.943939454,-75.646685441
2014-06,1,0.943939454,-75.646685441
2014-08,2,0.943939454,-75.646685441
2015-08,1,0.943939454,-75.646685441
2015-10,2,0.943939454,-75.646685441
2011-03,2,0.944223274,-77.959584455
2011-06,1,0.944223274,-77.959584455
2011-07,1,0.944223274,-77.959584455
2012-01,2,0.944223274,-77.959584455
2014-04,1,0.944223274,-77.959584455
2014-07,1,0.944223274,-77.959584455
2011-07,2,0.957786429,-77.395327805
2013-12,1,0.957786429,-77.395327805
2014-06,1,0.957786429,-77.395327805
2015-01,1,0.957786429,-77.395327805
2010-05,1,0.975037904,-77.737589414
2011-01,1,0.975037904,-77.737589414
2012-01,2,0.975037904,-77.737589414
2013-06,1,0.975037904,-77.737589414
2015-08,3,0.975037904,-77.737589414
2015-09,1,0.980534037,-77.518657295
2010-06,1,10.034836723,-74.928110717
2011-06,2,10.034836723,-74.928110717
2011-07,1,10.034836723,-74.928110717
2011-09,1,10.034836723,-74.928110717
2011-10,1,10.034836723,-74.928110717
2012-09,2,10.034836723,-74.928110717
2013-01,1,10.034836723,-74.928110717
2013-04,1,10.034836723,-74.928110717
2013-10,1,10.034836723,-74.928110717
2014-02,4,10.034836723,-74.928110717
2015-02,4,10.034836723,-74.928110717
2015-08,2,10.034836723,-74.928110717
2015-10,1,10.034836723,-74.928110717
2015-11,1,10.034836723,-74.928110717
2012-03,1,10.105330275,-74.264439202
2013-01,1,10.105330275,-74.264439202
2015-10,1,10.105330275,-74.264439202
2014-09,1,10.117798928,-74.691154562
